aimValue,speedValue,isAimMap
4.78451,3.6245,NULL
5.35384,3.32037,1
4.4689,4.13905,NULL
4.85355,4.59069,NULL
4.0955,3.79006,NULL
4.58826,3.66542,NULL
4.09196,4.49344,NULL
4.55103,4.39691,NULL
4.04974,3.76959,NULL
5.2734,3.69563,1
4.51895,3.45553,NULL
5.09516,3.00098,1
4.82442,4.6669,NULL
4.33489,4.23443,NULL
4.97095,3.08153,1
4.94519,3.55728,1
5.55004,3.33876,1
4.55642,3.90167,NULL
5.06963,3.79226,1
4.10245,4.39361,NULL
4.13379,4.48497,NULL
4.37737,3.85806,NULL
4.55709,4.65778,NULL
4.06935,4.08544,NULL
4.58901,3.71789,NULL
4.96114,3.5154,1
4.76598,3.17987,1
4.29494,3.91721,NULL
4.8852,3.98974,NULL
5.3491,3.55967,1
4.31192,3.86321,NULL
4.10318,4.18222,NULL
3.90392,4.40381,NULL
4.79602,3.70776,NULL
5.03774,2.8455,1
4.14859,4.37012,NULL
4.7798,3.78377,NULL
4.34752,4.95607,NULL
4.48053,4.9358,NULL
4.82246,3.86772,NULL
5.72918,3.51082,1
5.14902,3.37989,1
4.20518,3.61218,NULL
4.40207,4.81969,NULL
3.42919,4.48205,NULL
4.43272,4.20074,NULL
4.26476,3.66684,NULL
3.97776,4.33139,NULL
4.04914,4.79456,NULL
4.66299,4.17045,NULL
5.16713,4.48719,NULL
4.16092,4.01663,NULL
4.52656,4.84803,NULL
5.31747,2.81233,1
4.48232,3.55279,NULL
4.2014,3.92134,NULL
4.5767,3.5477,NULL
5.31624,2.90393,1
5.17912,3.82062,1
4.38019,4.36148,NULL
4.79622,3.21923,1
3.90981,3.82652,NULL
4.51292,5.83969,0
5.09142,3.78191,1
4.88847,4.33601,NULL
4.99764,3.35571,1
5.05653,2.90842,1
5.0531,3.21129,1
4.60393,3.58781,NULL
4.72458,3.87409,NULL
4.93662,3.66508,1
4.16868,4.15622,NULL
4.00864,4.17166,NULL
3.88726,3.88345,NULL
4.6203,3.83606,NULL
4.39347,4.18267,NULL
4.42325,3.98261,NULL
4.7983,4.82323,NULL
4.4642,4.379,NULL
4.98862,3.48524,1
5.02971,3.4843,1
4.61554,3.57367,NULL
3.82074,4.30739,NULL
4.02434,4.36843,NULL
3.73323,4.48065,NULL
4.75049,4.18027,NULL
5.18922,3.49382,1
4.30916,4.01512,NULL
4.36642,4.19822,NULL
4.09626,4.33329,NULL
4.38951,3.6272,NULL
4.93038,3.31996,1
4.86098,3.63179,1
4.03871,4.17715,NULL
4.52447,3.57136,NULL
4.16736,3.68101,NULL
5.80483,3.95492,1
3.7944,4.78295,NULL
4.69895,3.72948,NULL
4.38508,3.96767,NULL
4.4424,4.70166,NULL
4.97276,3.81057,NULL
4.70891,4.59384,NULL
4.96138,4.45937,NULL
4.54104,3.7804,NULL
4.74424,3.6239,NULL
4.51486,3.74374,NULL
4.20867,3.88255,NULL
4.82091,3.55845,1
4.72436,3.08974,1
5.22704,3.22143,1
4.58039,3.20056,1
5.07135,3.26264,1
5.47341,4.0159,1
4.88672,4.51673,NULL
4.89709,3.08386,1
5.15336,3.25338,1
5.57922,3.22563,1
5.21089,4.45583,NULL
3.99976,4.08477,NULL
4.64358,3.38819,1
3.82206,3.74649,NULL
3.99079,4.12066,NULL
4.36228,4.02667,NULL
4.22887,3.66492,NULL
4.35527,4.03488,NULL
5.01625,4.75919,NULL
4.11586,3.99618,NULL
4.7707,4.77472,NULL
4.83258,4.08585,NULL
4.83257,3.5694,1
4.09443,4.57543,NULL
4.65199,3.24177,1
4.44329,4.24753,NULL
4.50832,4.44191,NULL
4.05792,4.19208,NULL
4.5677,4.13649,NULL
4.88583,3.5198,1
4.32711,3.50601,NULL
4.42265,4.45365,NULL
4.95328,4.6991,NULL
4.40111,4.43731,NULL
4.37499,3.62993,NULL
3.94424,4.17228,NULL
4.22038,4.24555,NULL
4.14887,3.89297,NULL
5.42867,4.49748,NULL
